placa,carreta,propriedade,grupo,qtd_ctrb,custo,custo_av,valor_pagar,peso,frete,ctrbs
TOQ4B18,,CARRETEIRO,contratados,2,34800.0,0.0,34800.0,0.0,120798.09,"SPO 023522-9,SPO 023556-3"
EGK8J91,,CARRETEIRO,contratados,1,13000.0,0.0,13000.0,0.0,0.0,SPO 023527-0
RXZ3F27,,CARRETEIRO,contratados,1,12500.0,0.0,12500.0,0.0,0.0,SPO 023592-0
PPH8H15,,CARRETEIRO,contratados,1,9800.0,0.0,9800.0,0.0,0.0,SPO 023609-8
HMV9H97,,CARRETEIRO,contratados,1,8519.73,0.0,8519.73,0.0,0.0,SPO 023595-4
OTC6J76,,CARRETEIRO,contratados,1,8519.73,0.0,8519.73,0.0,0.0,SPO 023564-4
QRH1E76,,CARRETEIRO,contratados,1,8500.0,0.0,8500.0,0.0,0.0,SPO 023560-1
SFZ6F85,,CARRETEIRO,contratados,1,8500.0,0.0,8500.0,0.0,0.0,SPO 023568-7
OGQ0E00,,CARRETEIRO,contratados,1,7928.96,0.0,7928.96,0.0,0.0,SPO 023529-6
OGV0E00,,CARRETEIRO,contratados,1,7928.96,0.0,7928.96,0.0,0.0,SPO 023524-5
CUG3B07,,CARRETEIRO,contratados,1,7800.0,0.0,7800.0,0.0,41529.70,SPO 023584-9
NFI3A71,,CARRETEIRO,contratados,1,7500.0,0.0,7500.0,0.0,0.0,SPO 023542-3
RRF0F93,,CARRETEIRO,contratados,1,7500.0,0.0,7500.0,0.0,0.0,SPO 023551-2
TOR3I73,,CARRETEIRO,contratados,1,7500.0,0.0,7500.0,0.0,33486.57,SPO 023563-6
HMV9H98,,CARRETEIRO,contratados,1,6429.97,0.0,6429.97,0.0,0.0,SPO 023566-1
OMP3E60,,CARRETEIRO,contratados,1,5556.13,0.0,5556.13,0.0,0.0,SPO 023612-8
