cidade,uf,cidade_uf,filial,qtd,frete,peso,dias_max
GOIANIA,GO,GOIANIA/GO,GYN,20,3676.7400000000016,35509.2,63
ITATIAIA,RJ,ITATIAIA/RJ,TCT,16,3347.01,121.11199999999998,13
SALTO,SP,SALTO/SP,LEO,11,7818.500000000001,7410.184,132
HORTOLANDIA,SP,HORTOLANDIA/SP,LEO,10,4147.1900000000005,4928.791,66
ITUPEVA,SP,ITUPEVA/SP,LEO,10,5018.860000000002,11578.09,7
JARINU,SP,JARINU/SP,LEO,8,11940.660000000002,20603.999999999996,160
CUIABA,MT,CUIABA/MT,CGB,5,17328.359999999997,10946.669000000002,0
SUMARE,SP,SUMARE/SP,LEO,4,0.04,2439.484,70
CAMPINAS,SP,CAMPINAS/SP,LEO,3,16176.380000000001,22681.006,33
BRASILIA,DF,BRASILIA/DF,BSB,3,4500.030000000001,9142.986,4
BRAGANCA PAULISTA,SP,BRAGANCA PAULISTA/SP,CPQ,2,149.25,124.34,188
SOCORRO,SP,SOCORRO/SP,LEO,2,611.61,72.28,138
