origem,origem_sigla,cavalo,carreta,manifesto,peso,peso_num,saida,prev_chegada,chegada,inicio_descarga,final_descarga,status,atrasado,tempo_descarga_min,tempo_descarga,peso_veiculo
GOIANIA,GYN,ATX9J44,GGC6912,016036-9,20.851,20851,04/08 13:54,06/08 06:00,05/08 20:18,06/08 12:22 domingos,,descarregando,0,1223,20h 23min (andamento),20.851
SERRA,VIX,SUJ7D66,GJZ3744,002453-8,11.935,11935,05/08 12:15,HOJE 00:15,06/08 15:05,HOJE 08:40 a.dias,,descarregando,0,5,5min (andamento),11.945
SERRA,VIX,SUJ7D66,GJZ3744,002454-6,10,10,05/08 12:15,HOJE 00:15,06/08 15:05,HOJE 08:40 a.dias,,descarregando,0,5,5min (andamento),11.945
GOIANIA,GYN,TKD2B76,TLS7H45,016056-3,9.319,9319,06/08 08:27,HOJE 20:27,HOJE 06:48,HOJE 07:51 msantos,,descarregando,0,54,54min (andamento),9.333
GOIANIA,GYN,TKD2B76,TLS7H45,016057-1,12,12,06/08 08:27,HOJE 20:27,HOJE 06:48,HOJE 07:51 msantos,,descarregando,0,54,54min (andamento),9.333
GOIANIA,GYN,TKD2B76,TLS7H45,016058-0,2,2,06/08 08:27,HOJE 20:27,HOJE 06:48,HOJE 07:51 msantos,,descarregando,0,54,54min (andamento),9.333
GOIANIA,GYN,EMU7J31,EZP3E25,016032-6,29.796,29796,04/08 09:16,05/08 23:00,05/08 07:09,,,chegou,0,,,29.796
SERRA,VIX,FPO8341,GHD7J46,002456-2,717,717,05/08 15:13,HOJE 03:13,Atrasado,,,chegou,0,,,717
RIO DE JANEIRO,DCX,HYA2F45,FCT4A79,007193-5,11.326,11326,,,,,,aguardando,0,,,11.331
RIO DE JANEIRO,DCX,HYA2F45,FCT4A79,007194-3,5,5,,,,,,aguardando,0,,,11.331
SERRA,VIX,AJG6E46,AXI9D24,002462-7,19.681,19681,06/08 11:19,08/08 22:00,,,,aguardando,0,,,19.681
SERRA,VIX,GVQ2A15,GCL1G05,002461-9,20.393,20393,06/08 09:44,HOJE 22:00,,,,aguardando,0,,,20.393
RIO DE JANEIRO,DCX,FWR8963,FGX7G97,007132-3,7.721,7721,31/07 21:55,01/08 21:54,02/08 22:15,02/08 22:16 b.mendes,03/08 06:47 rosa,finalizado,0,511,8h 31min,19.621
RIO DE JANEIRO,DCX,FWR8963,FGX7G97,007133-1,12,12,31/07 21:55,01/08 21:54,02/08 22:15,02/08 22:16 b.mendes,03/08 06:47 rosa,finalizado,0,511,8h 31min,19.621
RIO DE JANEIRO,DCX,FWR8963,FGX7G97,007134-0,11.885,11885,31/07 21:55,01/08 21:54,02/08 22:15,02/08 22:16 b.mendes,03/08 06:47 rosa,finalizado,0,511,8h 31min,19.621
RIO DE JANEIRO,DCX,FWR8963,FGX7G97,007135-8,3,3,31/07 21:55,01/08 21:54,02/08 22:15,02/08 22:16 b.mendes,03/08 06:47 rosa,finalizado,0,511,8h 31min,19.621
GOIANIA,GYN,EOE8D88,FWC5035,016006-7,29.662,29662,01/08 17:07,03/08 18:00,03/08 06:41,04/08 08:30 hernande,04/08 08:31 hernande,finalizado,0,1,1min,29.662
GOIANIA,GYN,FTU6B41,IWN6J47,016000-8,20.488,20488,01/08 11:50,03/08 23:50,03/08 06:24,03/08 23:33 d.lopes,06/08 00:05 domingos,finalizado,0,2912,48h 32min,20.795
GOIANIA,GYN,FTU6B41,IWN6J47,016001-6,307,307,01/08 11:50,03/08 23:50,03/08 06:24,03/08 23:33 d.lopes,06/08 00:06 domingos,finalizado,0,2913,48h 33min,20.795
RIO DE JANEIRO,DCX,FWP9B31,ELW7829,007143-9,9,9,03/08 14:38,04/08 14:37,04/08 10:37,04/08 13:36 b.leme,04/08 15:24 heldson,finalizado,0,108,1h 48min,3.603
RIO DE JANEIRO,DCX,FWP9B31,ELW7829,007144-7,2.351,2351,03/08 14:38,04/08 14:37,04/08 10:37,04/08 13:36 b.leme,04/08 15:24 heldson,finalizado,0,108,1h 48min,3.603
RIO DE JANEIRO,DCX,FWP9B31,ELW7829,007145-5,50,50,03/08 14:38,04/08 14:37,04/08 10:37,04/08 13:36 b.leme,04/08 15:24 heldson,finalizado,0,108,1h 48min,3.603
RIO DE JANEIRO,DCX,FWP9B31,ELW7829,007146-3,997,997,03/08 14:38,04/08 14:37,04/08 10:37,04/08 13:36 b.leme,04/08 15:24 heldson,finalizado,0,108,1h 48min,3.603
RIO DE JANEIRO,DCX,FWP9B31,ELW7829,007147-1,1,1,03/08 14:38,04/08 14:37,04/08 10:37,04/08 13:36 b.leme,04/08 15:24 heldson,finalizado,0,108,1h 48min,3.603
RIO DE JANEIRO,DCX,FWP9B31,ELW7829,007148-0,195,195,03/08 16:08,04/08 16:07,04/08 10:37,04/08 13:36 b.leme,04/08 15:24 heldson,finalizado,0,108,1h 48min,3.603
RIO DE JANEIRO,DCX,TKZ4G04,FMM5F91,007162-5,16.039,16039,03/08 22:37,04/08 22:37,04/08 13:22,04/08 14:07 alejand,05/08 00:00 heldson,finalizado,0,593,9h 53min,16.039
SERRA,VIX,FNZ1D73,GJA0172,002445-7,15.962,15962,04/08 06:26,05/08 18:25,05/08 07:43,05/08 14:39 alejand,06/08 09:01 heldson,finalizado,0,1102,18h 22min,18.962
SERRA,VIX,FNZ1D73,GJA0172,002446-5,3.000,3000,04/08 06:26,05/08 18:25,05/08 07:43,05/08 14:39 alejand,06/08 09:01 heldson,finalizado,0,1102,18h 22min,18.962
GOIANIA,GYN,CUB0G27,AEY2528,016030-0,9.084,9084,04/08 09:09,05/08 21:09,05/08 13:36,05/08 13:36 aliny,05/08 19:29 aliny,finalizado,0,353,5h 53min,9.084
GOIANIA,GYN,CUB0G27,AEY2528,016031-8,0,0,04/08 09:09,05/08 21:09,05/08 13:36,05/08 13:36 aliny,05/08 19:29 aliny,finalizado,0,353,5h 53min,9.084
RIO DE JANEIRO,DCX,SUW8D83,FZT3F92,007172-2,19,19,04/08 21:24,05/08 21:24,05/08 13:50,05/08 13:50 alejand,05/08 17:48 alejand,finalizado,0,238,3h 58min,10.370
RIO DE JANEIRO,DCX,SUW8D83,FZT3F92,007173-1,10.346,10346,04/08 21:24,05/08 21:24,05/08 13:50,05/08 13:50 alejand,05/08 17:48 alejand,finalizado,0,238,3h 58min,10.370
RIO DE JANEIRO,DCX,SUW8D83,FZT3F92,007174-9,5,5,04/08 21:24,05/08 21:24,05/08 13:50,05/08 13:50 alejand,05/08 17:48 alejand,finalizado,0,238,3h 58min,10.370
RIO DE JANEIRO,DCX,FWR8963,GBV6611,007185-4,818,818,05/08 20:10,06/08 20:10,06/08 18:03,06/08 18:27 aliny,06/08 19:08 aliny,finalizado,0,41,41min,924
RIO DE JANEIRO,DCX,FWR8963,GBV6611,007186-2,100,100,05/08 20:10,06/08 20:10,06/08 18:03,06/08 18:27 aliny,06/08 19:08 aliny,finalizado,0,41,41min,924
RIO DE JANEIRO,DCX,FWR8963,GBV6611,007187-1,6,6,05/08 20:16,06/08 20:16,06/08 18:04,06/08 18:27 aliny,06/08 19:08 aliny,finalizado,0,41,41min,924
